Operation Type, Drone ID, Step Simulated Time, Total Simulated Time
Search, 300, 6.789054, 1261.65
Search, 300, 5.199152, 1266.849
Search, 300, 5.30121, 1272.15
Search, 300, 3.356416, 1275.507
Search, 300, 6.713779, 1282.22
Search, 300, 8.172197, 1290.393
Search, 300, 6.594411, 1296.987
Search, 300, 2.463636, 1299.451
Search, 300, 0.189412, 1299.64
Search, 300, 6.341857, 1305.982
Search, 300, 1.648168, 1307.63
Search, 300, 5.502635, 1313.133
Search, 300, 2.259326, 1315.392
Search, 300, 3.201244, 1318.593
Search, 300, 5.200679, 1323.794
Search, 300, 4.144757, 1327.939
Search, 300, 5.033002, 1332.972
Search, 300, 6.392862, 1339.365
Search, 300, 5.052789, 1344.417
Search, 300, 1344.417, 1344.417
Delete, 300, 0.5499416, 0.5499416
Delete, 300, 3.18167, 3.731612
Delete, 300, 1.902953, 5.634564
Delete, 300, 2.78838, 8.422945
Delete, 300, 1.037658, 9.460604
Delete, 300, 3.494619, 12.95522
Delete, 300, 2.439664, 15.39489
Delete, 300, 3.68709, 19.08198
Delete, 300, 2.075513, 21.15749
Delete, 300, 3.038873, 24.19636
Delete, 300, 6.207508, 30.40387
Delete, 300, 6.654689, 37.05856
Delete, 300, 5.910514, 42.96907
Delete, 300, 6.093248, 49.06232
Delete, 300, 0.7353476, 49.79767
Delete, 300, 5.539276, 55.33694
Delete, 300, 3.458846, 58.79579
Delete, 300, 1.165155, 59.96095
Delete, 300, 5.977678, 65.93862
Delete, 300, 3.476471, 69.41509
Delete, 300, 2.864135, 72.27923
Delete, 300, 2.908983, 75.18821
Delete, 300, 1.708277, 76.89648
Delete, 300, 1.20214, 78.09863
Delete, 300, 2.193162, 80.29179
Delete, 300, 1.402354, 81.69414
Delete, 300, 3.290119, 84.98425
Delete, 300, 3.545174, 88.52943
Delete, 300, 0.2795335, 88.80896
Delete, 300, 1.095883, 89.90485
Delete, 300, 0.4066346, 90.31148
Delete, 300, 1.024067, 91.33554
Delete, 300, 0.2685753, 91.60412
Delete, 300, 3.666514, 95.27063
Delete, 300, 3.577876, 98.8485
Delete, 300, 0.692214, 99.54072
Delete, 300, 2.050776, 101.5915
Delete, 300, 1.932838, 103.5243
Delete, 300, 1.358882, 104.8832
Delete, 300, 1.327623, 106.2108
Delete, 300, 3.724142, 109.935
Delete, 300, 3.830786, 113.7658
Delete, 300, 0.8437032, 114.6095
Delete, 300, 3.087566, 117.697
Delete, 300, 4.100507, 121.7975
Delete, 300, 1.778241, 123.5758
Delete, 300, 0.5988924, 124.1747
Delete, 300, 1.978817, 126.1535
Delete, 300, 1.882797, 128.0363
Delete, 300, 0.8463993, 128.8827
Delete, 300, 3.399682, 132.2824
